HKATOTTG,name,YEAR,TN_km2,W_km2,AIR_km2,DW_km2,MSW_km2,TN_km2_lag1,heavy
UA26040190000081578,Івано-Франківська міська громада,2023,370.3465530547749,166.36212540906146,143.7709135920766,0.0029591001053331195,0.8829120096335601,390.00939388290516,False
UA26040190000081578,Івано-Франківська міська громада,2024,398.90945650740707,145.40562671436896,67.32229681052961,0.005614702763965406,0.7550637102108343,370.3465530547749,False
UA26040210000094444,Лисецька селищна громада,2024,1.5273870807878658,,0.03781514788724797,0.05173407854281481,1.2294234236567492,,False
UA26040270000047749,Рогатинська міська громада,2019,1.066728224760731,115.84921750153708,63.41626492792548,0.07639610001365058,4.721142870120565,,False
UA26040270000047749,Рогатинська міська громада,2020,0.853066043243374,112.2280391955244,69.763187077454,0.059762103511817814,5.051306334463794,1.066728224760731,False
UA26040270000047749,Рогатинська міська громада,2021,1.5320369756207532,,46.745423569902165,0.03828509756225829,5.075663823156773,0.853066043243374,False
UA26040270000047749,Рогатинська міська громада,2022,1.4418240545356469,,46.37072341083376,0.03301476375149681,3.909115792556784,1.5320369756207532,False
UA26040270000047749,Рогатинська міська громада,2023,1.9213769508301597,100.49687755224326,7.753452377043159,0.009749326208495702,1.1834510831822502,1.4418240545356469,False
UA26040270000047749,Рогатинська міська громада,2024,2.046408894088465,339.90614328385493,6.707109107082009,0.007217033686808508,4.9911960407302445,1.9213769508301597,False
UA26040290000025886,Солотвинська селищна громада,2019,4.307544685811876,,0.0023399008169842288,,1.068111543389278,,False
UA26040290000025886,Солотвинська селищна громада,2020,2.698862874135218,,0.0025792088550848882,,1.068111543389278,4.307544685811876,False
UA26040290000025886,Солотвинська селищна громада,2021,3.6428001355322652,,0.006913343322907948,,2.490186264911443,2.698862874135218,False
UA26040290000025886,Солотвинська селищна громада,2022,6.580971047768143,,0.47510622497584315,,0.5340823614766502,3.6428001355322652,False
UA26040290000025886,Солотвинська селищна громада,2023,5.482813050706227,,1.4256643420936748,,0.0,6.580971047768143,False
UA26040290000025886,Солотвинська селищна громада,2024,5.211597274192146,,0.8733413901573521,,0.0,5.482813050706227,False
UA26040330000019235,Тисменицька міська громада,2019,1.479564987797899,10.289122550529328,10058.344800124605,17.751243530664393,108.8055833070665,,False
