HKATOTTG,name,area_km2,TN,TN_km2,W_total,W_tour,share_W,DW_total,DW_tour,share_DW,AIR_total,AIR_tour,share_AIR,MSW_total,MSW_tour,share_MSW,W_tour_km2,DW_tour_km2,AIR_tour_km2,MSW_tour_km2
UA26080250000056546,Чернелицька селищна громада,129.673987,318,2.452304,,,,,,,28.89,0.0,0.0,0.0,0.0,,,,0.0,0.0
UA26100010000076570,Косівська міська громада,336.95139,9844,29.214897,,,,9.93,0.0,0.0,325.84,0.91,0.002793,13.5,0.0,0.0,,0.0,0.002701,0.0
UA26100030000012148,Космацька сільська громада,113.892438,79,0.693637,,,,,,,20.53,0.0,0.0,,,,,,0.0,
UA26100050000019570,Кутська селищна громада,113.179967,4171,36.852812,39474.0,0.0,0.0,,,,257.38,0.11,0.000427,12.75,0.0,0.0,0.0,,0.000972,0.0
UA26100090000038366,Яблунівська селищна громада,206.311952,514,2.491373,42564.0,0.0,0.0,,,,8472.33,0.01,1e-06,4263.92,0.0,0.0,0.0,,4.8e-05,0.0
UA26120010000096774,Ворохтянська селищна громада,248.943845,111916,449.563234,13012.0,0.0,0.0,6.28,5.75,0.915605,1103.81,1065.82,0.965583,90.3,14.96,0.16567,0.0,0.023098,4.281367,0.060094
UA26120030000018265,Делятинська селищна громада,206.630744,1332,6.446282,8092.0,0.0,0.0,1.71,0.0,0.0,639.63,0.14,0.000219,2.14,0.0,0.0,0.0,0.0,0.000678,0.0
UA26120070000067596,Надвірнянська міська громада,190.438662,1735,9.110545,219584.0,0.0,0.0,646.01,635.62,0.983917,8068.83,4240.39,0.525527,517.04,78.0,0.150859,0.0,3.337663,22.266435,0.409581
UA26120090000072057,Пасічнянська сільська громада,419.012504,6952,16.59139,27850.0,0.0,0.0,,,,37377.97,0.0,0.0,361.7,0.0,0.0,0.0,,0.0,0.0
UA26120130000088448,Поляницька сільська громада,340.493097,781801,2296.08473,197712.0,131980.0,0.667537,272.66,6.39,0.023436,1406.06,13.5,0.009601,25.0,0.0,0.0,387.61432,0.018767,0.039648,0.0
UA26120150000021671,Яремчанська міська громада,270.566416,170948,631.815294,179946.0,173854.0,0.966145,16.37,0.0,0.0,1458.44,720.89,0.494288,40.71,6.82,0.167526,642.555725,0.0,2.664374,0.025206
